"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/04/2019","AQS","240051007","3","13.2","ug/m3 LC","53","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/05/2019","AQS","240051007","3","0.7","ug/m3 LC","3","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/06/2019","AQS","240051007","3","2","ug/m3 LC","8","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/07/2019","AQS","240051007","3","5","ug/m3 LC","21","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/08/2019","AQS","240051007","3","7.1","ug/m3 LC","30","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/09/2019","AQS","240051007","3","4.2","ug/m3 LC","18","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/10/2019","AQS","240051007","3","3.8","ug/m3 LC","16","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/11/2019","AQS","240051007","3","3.9","ug/m3 LC","16","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/12/2019","AQS","240051007","3","0.4","ug/m3 LC","2","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/13/2019","AQS","240051007","3","0.7","ug/m3 LC","3","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/14/2019","AQS","240051007","3","4.6","ug/m3 LC","19","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/15/2019","AQS","240051007","3","3.9","ug/m3 LC","16","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/21/2019","AQS","240051007","3","4.2","ug/m3 LC","18","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/22/2019","AQS","240051007","3","6.4","ug/m3 LC","27","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/23/2019","AQS","240051007","3","8","ug/m3 LC","33","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/24/2019","AQS","240051007","3","5","ug/m3 LC","21","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/25/2019","AQS","240051007","3","4.6","ug/m3 LC","19","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/26/2019","AQS","240051007","3","7.3","ug/m3 LC","30","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/27/2019","AQS","240051007","3","7.5","ug/m3 LC","31","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/28/2019","AQS","240051007","3","11.5","ug/m3 LC","48","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/29/2019","AQS","240051007","3","10","ug/m3 LC","42","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/30/2019","AQS","240051007","3","9","ug/m3 LC","38","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"05/31/2019","AQS","240051007","3","8","ug/m3 LC","33","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/01/2019","AQS","240051007","3","13.5","ug/m3 LC","54","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/02/2019","AQS","240051007","3","14.2","ug/m3 LC","55","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/03/2019","AQS","240051007","3","6.7","ug/m3 LC","28","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/04/2019","AQS","240051007","3","6","ug/m3 LC","25","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/05/2019","AQS","240051007","3","13.2","ug/m3 LC","53","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/06/2019","AQS","240051007","3","10.5","ug/m3 LC","44","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/07/2019","AQS","240051007","3","8.2","ug/m3 LC","34","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
"06/08/2019","AQS","240051007","3","10.8","ug/m3 LC","45","Padonia","1","100.0000","88101","PM2.5 - Local Conditions","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.460478000926","-76.633543"
